Input Metric	Output Metric	Neighbours	Minimum Distance	Weights	Model	Av. Accuracy
 euclidean	 chebyshev	60	0.5	0.1	 knn_2	0.751803752
 euclidean	 chebyshev	60	0.4	0.7	 knn_2	0.745454545
 euclidean	 chebyshev	60	0.8	0.8	 rf_2	0.743578644
 euclidean	 chebyshev	60	0.9	0.8	 rf_2	0.743578644
 euclidean	 chebyshev	75	0.8	0.1	 knn_2	0.74011544
 euclidean	 chebyshev	75	0.9	0.1	 knn_2	0.74011544
 euclidean	 chebyshev	60	0.5	0.5	 knn_2	0.73982684
 euclidean	 chebyshev	60	0.7	0.25	 knn_2	0.739393939
 euclidean	 chebyshev	60	0.8	0.8	 ada_rf_2	0.737229437
 euclidean	 chebyshev	60	0.9	0.25	 ada_rf_2	0.737085137
 euclidean	 chebyshev	75	0.5	1	 knn_2	0.737085137
 euclidean	 chebyshev	30	0.2	0.4	 rf_2	0.736796537
 euclidean	 chebyshev	60	0.7	0.2	 knn_2	0.736652237
 euclidean	 chebyshev	30	0.2	0.4	 ada_rf_2	0.736507937
 euclidean	 chebyshev	60	0.6	0.01	 xgboost_2	0.736075036
 euclidean	 chebyshev	60	0.8	0.25	 xgboost_2	0.734199134
 euclidean	 chebyshev	60	0.9	0.25	 xgboost_2	0.734199134
 euclidean	 chebyshev	60	0.3	0.4	 knn_2	0.734054834
 euclidean	 chebyshev	60	0.3	0.1	 knn_2	0.733910534
 euclidean	 chebyshev	75	0.3	0.4	 knn_2	0.733910534
 euclidean	 chebyshev	75	0.7	0.4	 ada_rf_2	0.733766234
 euclidean	 chebyshev	60	0.7	0.1	 knn_2	0.733621934
 euclidean	 chebyshev	60	0.7	0.001	 knn_2	0.733333333
 euclidean	 chebyshev	60	0.6	0.3	 knn_2	0.733189033
 euclidean	 chebyshev	45	0.6	0.3	 knn_2	0.731168831
 euclidean	 chebyshev	60	0.8	0.25	 ada_rf_2	0.731024531
 euclidean	 chebyshev	60	0.4	0	 ada_rf_2	0.730735931
 euclidean	 chebyshev	60	0.5	0.7	 knn_2	0.73044733
 euclidean	 chebyshev	60	0.7	0.1	 rf_2	0.73044733
 euclidean	 chebyshev	60	0.7	0.25	 rf_2	0.73030303
 euclidean	 chebyshev	75	0.4	0.001	 knn_2	0.727849928
 euclidean	 chebyshev	45	0	0.3	 nn_2	0.727849928
 euclidean	 chebyshev	60	0.7	0.1	 ada_rf_2	0.727417027
 euclidean	 chebyshev	60	0.4	0.5	 knn_2	0.726984127
 euclidean	 chebyshev	60	0.8	0.25	 rf_2	0.724963925
 euclidean	 chebyshev	60	0.9	0.25	 rf_2	0.724963925
 euclidean	 chebyshev	75	0.8	0.01	 knn_2	0.724819625
 euclidean	 chebyshev	75	0.9	0.01	 knn_2	0.724819625
 euclidean	 chebyshev	20	0.25	0.3	 ada_rf_2	0.724675325
 euclidean	 chebyshev	60	0.5	0.25	 knn_2	0.724386724
 euclidean	 chebyshev	60	0.4	0.25	 knn_2	0.724242424
 euclidean	 chebyshev	75	0.7	0.4	 rf_2	0.724242424
 euclidean	 chebyshev	60	0.9	0.8	 ada_rf_2	0.722366522
 euclidean	 chebyshev	15	0.4	0.5	 knn_2	0.722222222
 euclidean	 chebyshev	90	0.7	1	 knn_2	0.721500722
 euclidean	 chebyshev	60	0.4	0	 rf_2	0.721500722
 euclidean	 chebyshev	60	0.6	0	 knn_2	0.721356421
 euclidean	 chebyshev	60	0.5	0.001	 rf_2	0.721356421
 euclidean	 chebyshev	60	0.4	0.1	 knn_2	0.720923521
 euclidean	 chebyshev	60	0.7	0.25	 ada_rf_2	0.720779221
 euclidean	 chebyshev	25	0.3	0	 rf_2	0.718759019
