,Model,Neighbours,Distance,Weight,Trustworthiness,Accuracy,Bal. Accuracy,Cohen K,Matt. Corr. Coef
0,rf,15,0.1,0.1,0.9882443839771184,0.7082437275985664 +/- 0.04417531073277704,0.6662790912790912 +/- 0.060743493117658476,0.5761656680423309 +/- 0.029166385242275862,0.5831148657448022 +/- 0.029149023872538947
1,ada_rf,15,0.1,0.1,0.9882443839771184,0.7089605734767025 +/- 0.04281875326552328,0.667895838729172 +/- 0.053967775239972364,0.5950510516681068 +/- 0.032418578719335935,0.5983495961284034 +/- 0.03211752973496703
2,nn,15,0.1,0.1,0.9882443839771184,0.7114695340501792 +/- 0.039742667946151736,0.6652745788162455 +/- 0.05207330208403219,0.5599782662352701 +/- 0.02706348154805645,0.5663191901882355 +/- 0.026536246020899146
3,knn,15,0.1,0.1,0.9882443839771184,0.685663082437276 +/- 0.037851835860008225,0.62562055999556 +/- 0.05210885014866345,0.4802339644283505 +/- 0.028866748335341013,0.4836877922994538 +/- 0.029074024642569703
4,xg,15,0.1,0.1,0.9882443839771184,0.6899641577060932 +/- 0.04875306200601323,0.6456763915097249 +/- 0.059740357877689707,0.5963979242479077 +/- 0.028161147460169313,0.6032480220489436 +/- 0.027889949802678452
5,rf,15,0.1,0.2,0.9844660399180332,0.7082437275985664 +/- 0.05466309447576793,0.6634545238711905 +/- 0.06105667092159974,0.6138406141394972 +/- 0.023708789644443604,0.6175338351956209 +/- 0.02304109094132968
6,ada_rf,15,0.1,0.2,0.9844660399180332,0.7103942652329749 +/- 0.05568915564446521,0.6584959793293127 +/- 0.06377797224118391,0.6292534915250257 +/- 0.023025548686550323,0.6329409401112029 +/- 0.02222500138289247
7,nn,15,0.1,0.2,0.9844660399180332,0.7154121863799283 +/- 0.04147550448743233,0.676506171297838 +/- 0.05520612267284556,0.5507547899248854 +/- 0.022343900811312552,0.5593327446050808 +/- 0.021833058927621017
8,knn,15,0.1,0.2,0.9844660399180332,0.6939068100358423 +/- 0.04417531073277705,0.6252386502386502 +/- 0.062071479276995814,0.540215084595801 +/- 0.02356173983509106,0.5461520407652506 +/- 0.02289082169855377
9,xg,15,0.1,0.2,0.9844660399180332,0.6978494623655914 +/- 0.05054118432770739,0.6446073987740655 +/- 0.0590716486502021,0.5859487680152576 +/- 0.023050909728449344,0.594166373401691 +/- 0.022068503952214116
10,rf,15,0.1,0.3,0.9809436742058865,0.7978494623655914 +/- 0.03750441025652774,0.7547783235283235 +/- 0.05532910151700721,0.6577785429340762 +/- 0.022863132252127234,0.6585264984439503 +/- 0.022734647932919117
11,ada_rf,15,0.1,0.3,0.9809436742058865,0.7974910394265233 +/- 0.03778858544026356,0.7566194993278327 +/- 0.054828495657916206,0.6630255735733661 +/- 0.021111965097554922,0.6638804335953122 +/- 0.02100893117530047
12,nn,15,0.1,0.3,0.9809436742058865,0.7838709677419354 +/- 0.041245766034822474,0.7390148817232151 +/- 0.0561457014321369,0.6370721491645805 +/- 0.025507398785034895,0.6426144732870153 +/- 0.025191126490844092
13,knn,15,0.1,0.3,0.9809436742058865,0.7562724014336918 +/- 0.03936467773267582,0.6886812261812262 +/- 0.05999716399920081,0.5847631908555586 +/- 0.032767045546256986,0.5874302742104511 +/- 0.03226774250840491
14,xg,15,0.1,0.3,0.9809436742058865,0.7731182795698924 +/- 0.034160908625869006,0.7114639989639989 +/- 0.05689035756605035,0.6645236266823242 +/- 0.023166250840003653,0.665753790954535 +/- 0.022967189317441995
15,rf,15,0.1,0.4,0.9764287805276014,0.8369175627240144 +/- 0.036391174859341464,0.7928905199738533 +/- 0.06132047170792094,0.7820884824208729 +/- 0.017924883979162618,0.7833708852663218 +/- 0.01776741068064021
16,ada_rf,15,0.1,0.4,0.9764287805276014,0.8336917562724014 +/- 0.03602228936034534,0.7895343468260134 +/- 0.05820452361256098,0.7976000637314892 +/- 0.015563733571824452,0.7987745733965309 +/- 0.015388966292498965
17,nn,15,0.1,0.4,0.9764287805276014,0.8347670250896058 +/- 0.025016224769039395,0.8077680806847474 +/- 0.042644373448906286,0.6309696670832307 +/- 0.014501819541428006,0.6527006827429407 +/- 0.013446789534482277
18,knn,15,0.1,0.4,0.9764287805276014,0.7921146953405018 +/- 0.03236089571261037,0.719638579013579 +/- 0.05448098669311608,0.6498976172224741 +/- 0.016791178352330408,0.6537794243724797 +/- 0.016038428486890154
19,xg,15,0.1,0.4,0.9764287805276014,0.8175627240143369 +/- 0.03588367404916753,0.772005772005772 +/- 0.06366855267239134,0.7410063125742723 +/- 0.021170419558501227,0.7430014770660656 +/- 0.021005717782907916
20,rf,15,0.1,0.5,0.9690557979047592,0.9279569892473118 +/- 0.024479218159743122,0.8910687691937692 +/- 0.04945675823437348,0.8820584725509746 +/- 0.014074018269574506,0.8826807965059464 +/- 0.014074972250177056
21,ada_rf,15,0.1,0.5,0.9690557979047592,0.9293906810035842 +/- 0.022885512503790183,0.889998157706491 +/- 0.04538821448568884,0.8981110180733629 +/- 0.01624952428577143,0.8989218392223199 +/- 0.0161415271263024
22,nn,15,0.1,0.5,0.9690557979047592,0.9229390681003584 +/- 0.02542721805628148,0.8949019344852678 +/- 0.04656246822741326,0.8386575485343098 +/- 0.020688202570615186,0.8402330287220687 +/- 0.02038669526985524
23,knn,15,0.1,0.5,0.9690557979047592,0.8853046594982079 +/- 0.03404204704846957,0.8054848700682034 +/- 0.06370647860206186,0.7808274635395246 +/- 0.021922885246580412,0.7835692904331414 +/- 0.021423884796712332
24,xg,15,0.1,0.5,0.9690557979047592,0.9068100358422939 +/- 0.025931801201708283,0.8642479434146101 +/- 0.05180866673798498,0.8595865267292403 +/- 0.019015915262286846,0.8598525950736788 +/- 0.01907542097167583
25,rf,15,0.2,0.1,0.988521861817763,0.7017921146953405 +/- 0.047076413446290974,0.6524083940750607 +/- 0.06155098347286199,0.5733356058152946 +/- 0.026562061397711036,0.577727247759184 +/- 0.026485485980941786
26,ada_rf,15,0.2,0.1,0.988521861817763,0.7039426523297491 +/- 0.047228609636075884,0.6535799462882796 +/- 0.07126012867460318,0.5671456280044133 +/- 0.02295216095423436,0.5707180479810662 +/- 0.02298540558123487
27,nn,15,0.2,0.1,0.988521861817763,0.6953405017921147 +/- 0.03508026928636361,0.6623706540373206 +/- 0.055493522499803064,0.406299910077935 +/- 0.025115224188635907,0.42076592890123393 +/- 0.024954875142452336
28,knn,15,0.2,0.1,0.988521861817763,0.6724014336917563 +/- 0.03838006303599502,0.6365270917354251 +/- 0.05846044228040365,0.47881574474731875 +/- 0.026266929796075277,0.4832512186739427 +/- 0.026230637211611067
29,xg,15,0.2,0.1,0.988521861817763,0.6813620071684588 +/- 0.050944514507656406,0.6242316325649659 +/- 0.06662760847599994,0.521554399299779 +/- 0.02540090494823088,0.526088294014846 +/- 0.02532728017661362
30,rf,15,0.2,0.2,0.9872971585155751,0.7136200716845879 +/- 0.042024598784014044,0.6798941028107695 +/- 0.04825513920740388,0.6140100575027398 +/- 0.02223048455807963,0.6180099369200287 +/- 0.022000471146751837
31,ada_rf,15,0.2,0.2,0.9872971585155751,0.7111111111111111 +/- 0.04646264351286172,0.6806573056573056 +/- 0.04765752371016461,0.5866301881500746 +/- 0.025586792258981576,0.5902798047450947 +/- 0.02570358017105611
32,nn,15,0.2,0.2,0.9872971585155751,0.7211469534050179 +/- 0.04446317895878449,0.703718927677261 +/- 0.058885551453703396,0.5173025375736451 +/- 0.020255345071634283,0.536034917688045 +/- 0.01985151998699769
33,knn,15,0.2,0.2,0.9872971585155751,0.6921146953405019 +/- 0.042496305403311944,0.6413825372158706 +/- 0.06141638948056422,0.5397644095890468 +/- 0.02847055440372317,0.5479040679374476 +/- 0.027889644452455807
34,xg,15,0.2,0.2,0.9872971585155751,0.6838709677419355 +/- 0.04653695178026597,0.622927072927073 +/- 0.05936254764296577,0.5754132307167545 +/- 0.022837630392582093,0.5842973640978258 +/- 0.0223063808089964
35,rf,15,0.2,0.3,0.9853187251951991,0.8053763440860215 +/- 0.03473955595742665,0.7722908264574931 +/- 0.054441824617764714,0.6787993897437603 +/- 0.02063022828000406,0.6794944896022116 +/- 0.02064236342395259
36,ada_rf,15,0.2,0.3,0.9853187251951991,0.8050179211469534 +/- 0.033019481626678907,0.777659608909609 +/- 0.055876165184371815,0.696320515896293 +/- 0.019435667852337555,0.697340950066317 +/- 0.019339690548646874
37,nn,15,0.2,0.3,0.9853187251951991,0.7838709677419354 +/- 0.04016841124386256,0.7451439763939764 +/- 0.05664357892952991,0.5560415069646378 +/- 0.03212050710292256,0.5655272298095548 +/- 0.03195772347412495
