0,1,2,3,biosyn_class
15.0,16.0,0.0,0.0,Polyketide
181.0,182.0,0.0,0.0,NRP
168.0,169.0,0.0,0.0,Alkaloid
69.0,70.0,0.0,0.0,Polyketide
140.0,141.0,0.0,0.0,Polyketide
50.0,51.0,0.0,0.0,Other
214.0,215.0,0.0,0.0,Polyketide
83.0,84.0,0.0,0.0,NRP
103.0,104.0,0.0,0.0,Polyketide
152.0,246.0,1.2574311706683337,0.0,Polyketide
54.0,55.0,1.9207084486132466,0.0,Polyketide
123.0,136.0,1.967678096108488,0.0,Terpene
4.0,173.0,1.9971983909263333,0.0,Polyketide
205.0,211.0,2.3546586917693624,0.0,Polyketide
97.0,220.0,2.4366314942832377,0.0,Polyketide
47.0,219.0,2.5827941170623725,0.0,Polyketide
43.0,238.0,2.62282597898532,0.0,Polyketide
121.0,229.0,2.6456595455916303,0.0,Polyketide
119.0,227.0,2.655399737317986,0.0,Other
75.0,99.0,2.7180688298178253,0.0,NRP
74.0,116.0,2.7816130642570274,0.0,NRP
8.0,14.0,2.7907880580263527,0.0,NRP
186.0,237.0,2.863999952039868,0.0,Polyketide
29.0,160.0,2.9459729547286213,0.0,Terpene
126.0,150.0,3.0598869677901663,0.0,NRP
191.0,236.0,3.1320518125382137,0.0,NRP
89.0,124.0,3.231380284764139,0.0,Polyketide
165.0,190.0,3.2953888492806076,0.0,Polyketide
24.0,174.0,3.326488385149655,0.0,NRP
108.0,135.0,3.35031848176216,0.0,Other
130.0,263.0,3.37446007530946,0.0,Terpene
13.0,155.0,3.385155887761938,0.0,Other
131.0,196.0,3.4058270217685562,0.0,Polyketide
19.0,254.0,3.410314865665095,0.0,Polyketide
225.0,233.0,3.4235686728337504,0.0,Other
96.0,120.0,3.4246689150298284,0.0,Polyketide
109.0,110.0,3.4336729707596305,0.0,NRP
39.0,192.0,3.4429249111650875,0.0,Terpene
208.0,261.0,3.5035405460604743,0.0,NRP
0.0,58.0,3.5291798918507817,0.0,NRP
10.0,185.0,3.5876814230619014,0.0,Polyketide
193.0,218.0,3.610614350011831,0.0,Saccharide
64.0,180.0,3.6115457273140215,0.0,Polyketide
189.0,235.0,3.631125540165788,0.0,Polyketide
143.0,226.0,3.6360820332200703,0.0,NRP
53.0,171.0,3.6395510424705084,0.0,Polyketide
87.0,92.0,3.6532271948208828,0.0,Polyketide
146.0,172.0,3.6598186357593496,0.0,NRP
7.0,125.0,3.6803762302825924,0.0,Polyketide
17.0,60.0,3.715379428458813,0.0,Other
209.0,252.0,3.735640105676237,0.0,NRP
133.0,200.0,3.7548666930922123,0.0,NRP
46.0,128.0,3.755727659608624,0.0,Polyketide
78.0,212.0,3.7703968195182678,0.0,Polyketide
28.0,132.0,3.7715311431102223,0.0,Other
113.0,255.0,3.7737349336589605,0.0,NRP
82.0,85.0,3.786948524431686,0.0,NRP
88.0,100.0,3.7910609306678755,0.0,NRP
195.0,270.0,3.7957143405893614,0.0,Other
127.0,221.0,3.8040957799856217,0.0,Terpene
137.0,204.0,3.8063939189344262,0.0,Polyketide
138.0,232.0,3.8081075823307495,0.0,NRP
12.0,288.0,3.8252920222079445,0.0,Polyketide
63.0,161.0,3.8316586927783227,0.0,NRP
129.0,264.0,3.8376083343117164,0.0,RiPP
77.0,243.0,3.848802540011874,0.0,NRP
40.0,79.0,3.8549318945952042,0.0,NRP
57.0,176.0,3.856634614089902,0.0,Polyketide
111.0,144.0,3.868010003208431,0.0,Terpene
179.0,217.0,3.8684116656561955,0.0,Other
22.0,223.0,3.869009929075409,0.0,Other
35.0,122.0,3.869472562180129,0.0,Polyketide
38.0,268.0,3.8736193566304316,0.0,Polyketide
145.0,234.0,3.879251986952713,0.0,Polyketide
41.0,294.0,3.884552610545069,0.0,Polyketide
216.0,296.0,3.896941654903284,0.0,Polyketide
66.0,203.0,3.898611432457777,0.0,Polyketide
153.0,285.0,3.9044674555482595,0.0,Polyketide
65.0,269.0,3.931596219672888,0.0,Polyketide
45.0,276.0,3.9566244370079144,0.0,Polyketide
95.0,259.0,3.9620151301751605,0.0,PK - Terpene
158.0,198.0,3.9634375918725517,0.0,Polyketide
277.0,284.0,3.9695166882540556,0.0,Polyketide
194.0,293.0,3.969878003697628,0.0,Polyketide
149.0,151.0,3.973529382035458,0.0,Other
20.0,315.0,3.9839058548406543,0.0,Polyketide
275.0,310.0,4.01372182355743,0.0,Terpene
25.0,71.0,4.019827283445208,0.0,Polyketide
67.0,301.0,4.020712879356646,0.0,Polyketide
5.0,156.0,4.025595240912528,0.0,Polyketide
207.0,286.0,4.029063962974777,0.0,Polyketide
163.0,213.0,4.045395165203109,0.0,Polyketide
6.0,197.0,4.051460718702857,0.0,NRP
59.0,199.0,4.054388628828623,0.0,Polyketide
86.0,222.0,4.05596790337281,0.0,NRP
90.0,139.0,4.062597078154702,0.0,Polyketide
44.0,297.0,4.0790572174421,0.0,Polyketide
278.0,311.0,4.1113512626762585,0.0,Polyketide
37.0,42.0,4.117539430179492,0.0,NRP
118.0,170.0,4.119368081314746,0.0,Polyketide
62.0,206.0,4.135261591405544,0.0,Polyketide
148.0,224.0,4.143972006116478,0.0,Other
56.0,101.0,4.1523013181521735,0.0,Polyketide
287.0,298.0,4.154632117496491,0.0,NRP
81.0,336.0,4.188370836004006,0.0,NRP - PK
91.0,326.0,4.198402029774646,0.0,Polyketide
105.0,184.0,4.203926710898845,0.0,Other
