ward,complete,average,single,true_label
188,190,186,167,Polyketide
156,155,144,159,NRP
117,199,203,157,Alkaloid
176,175,168,185,Polyketide
226,226,226,173,Polyketide
175,174,172,196,Other
165,164,155,189,Polyketide
169,169,159,225,NRP
216,216,216,216,Polyketide
207,159,119,127,Polyketide
213,213,212,205,Polyketide
159,123,187,175,Terpene
163,162,153,217,Polyketide
170,170,162,161,Polyketide
118,176,207,215,Polyketide
25,13,6,1,Polyketide
25,13,6,1,Polyketide
183,177,175,168,Polyketide
181,163,227,191,Other
208,209,213,210,NRP
143,140,130,195,NRP
173,153,125,188,NRP
190,192,188,138,Polyketide
189,179,199,122,Terpene
209,208,208,190,NRP
157,156,145,211,NRP
116,127,161,219,Polyketide
128,124,103,123,Polyketide
168,168,158,223,NRP
222,222,222,222,Other
145,146,131,129,Terpene
123,120,229,199,Other
136,134,120,139,Polyketide
182,183,179,201,Polyketide
179,117,225,135,Other
147,148,134,137,Polyketide
229,189,167,221,NRP
167,167,157,206,Terpene
155,138,166,182,NRP
201,200,197,165,NRP
103,207,204,174,Polyketide
141,129,177,202,Saccharide
199,144,195,220,Polyketide
221,221,221,186,Polyketide
126,135,121,153,NRP
134,143,143,200,Polyketide
180,181,176,133,Polyketide
225,225,112,144,NRP
89,180,174,128,Polyketide
115,215,163,125,Other
5,7,2,8,NRP
5,7,2,8,NRP
178,178,170,99,Polyketide
94,191,194,142,Polyketide
227,227,228,227,Other
184,158,165,148,NRP
187,133,137,136,NRP
162,161,152,181,NRP
154,130,138,169,Other
153,154,141,187,Terpene
150,150,68,126,Polyketide
228,147,132,166,NRP
127,122,205,151,Polyketide
195,196,191,156,NRP
192,194,189,130,RiPP
137,203,173,180,NRP
158,157,148,107,NRP
122,61,219,124,Polyketide
149,80,78,115,Terpene
2,3,3,2,Other
2,3,3,2,Other
217,137,71,82,Polyketide
121,223,118,209,Polyketide
196,84,86,213,Polyketide
219,219,220,162,Polyketide
215,107,215,214,Polyketide
148,139,113,68,Polyketide
146,205,201,86,Polyketide
174,173,164,120,Polyketide
177,73,117,176,Polyketide
197,136,151,179,PK - Terpene
133,121,116,171,Polyketide
193,195,190,150,Polyketide
1,1,1,7,Polyketide
1,1,1,7,Other
132,88,146,154,Polyketide
138,67,123,93,Terpene
88,87,169,87,Polyketide
172,172,81,177,Polyketide
210,210,209,97,Polyketide
135,66,59,80,Polyketide
125,112,192,64,Polyketide
131,217,82,118,NRP
112,201,181,94,Polyketide
161,160,75,143,NRP
97,204,202,89,Polyketide
198,197,95,158,Polyketide
224,224,224,224,Polyketide
185,185,185,132,NRP
186,132,128,111,Polyketide
74,118,178,63,Polyketide
119,229,110,117,Other
129,126,210,131,Polyketide
0,2,0,3,NRP
0,2,0,3,NRP - PK
139,228,126,90,Polyketide
166,165,193,83,Other
87,116,84,155,Polyketide
203,202,200,178,Polyketide
93,94,184,145,Polyketide
152,99,133,146,Polyketide
151,152,139,141,Polyketide
202,193,147,163,RiPP
86,128,196,102,NRP - PK
140,68,62,197,Saccharide
124,119,198,203,Other
78,103,223,109,Other
46,110,122,204,Other
164,81,154,198,Polyketide
220,220,109,218,Other
84,211,60,78,Polyketide
218,218,218,183,Polyketide
80,59,160,116,Polyketide
113,113,114,57,Alkaloid
57,214,83,194,Polyketide
114,151,115,58,NRP
211,212,104,100,NRP
144,145,129,72,NRP
204,95,100,65,Terpene
98,89,101,207,Terpene
206,206,206,184,RiPP
205,101,99,92,NRP
66,77,29,44,NRP
160,78,149,208,NRP
130,58,102,160,Polyketide
81,184,79,193,NRP
109,149,72,228,Other
73,74,135,140,NRP
82,166,156,88,NRP
58,97,183,28,Polyketide
12,5,8,4,Polyketide
12,5,8,4,NRP
65,125,124,121,Polyketide
100,100,98,172,NRP
72,105,136,212,Polyketide
92,187,182,70,Terpene
90,182,88,67,NRP
120,115,87,103,NRP
171,171,80,49,Other
76,76,142,147,RiPP
200,71,57,98,RiPP
62,57,77,152,RiPP
56,114,56,229,Polyketide
142,83,94,91,NRP
102,43,39,45,Alkaloid
99,49,97,164,Polyketide
28,82,43,149,NRP
69,72,58,119,Polyketide
79,79,150,46,NRP
104,40,64,85,Polyketide
68,198,90,110,Other
40,102,107,77,Polyketide
191,64,111,79,RiPP
91,186,180,69,RiPP
63,39,171,71,NRP
212,106,211,101,NRP
70,141,127,33,Alkaloid
110,109,89,113,Polyketide
26,6,4,14,NRP
26,6,4,14,Polyketide
194,108,217,114,Saccharide
85,62,92,31,Polyketide
60,69,48,61,Polyketide
223,188,96,226,Polyketide
61,93,44,134,RiPP
59,50,41,108,NRP
111,36,49,62,NRP
54,63,67,30,Alkaloid
77,54,105,22,Terpene
45,92,21,192,Alkaloid
214,104,61,76,NRP
13,11,9,0,NRP
13,11,9,0,Polyketide
67,96,70,73,Polyketide
34,75,74,95,Polyketide
71,41,140,48,Polyketide
101,91,51,170,Terpene
38,56,91,96,RiPP
43,86,65,104,NRP
22,46,45,35,NRP
75,142,50,50,NRP
106,52,214,105,Terpene
49,70,69,81,Other
95,47,93,75,Polyketide
55,60,106,47,Terpene
83,19,85,56,Polyketide
107,28,46,84,NRP
105,30,34,24,NRP
108,29,40,40,NRP
39,38,38,43,Polyketide
52,98,42,42,NRP
42,90,54,21,RiPP
51,44,73,10,Saccharide
48,85,52,41,NRP
33,45,76,74,NRP
27,111,55,39,Saccharide
41,42,30,60,Polyketide
64,131,14,36,NRP
53,53,108,106,Polyketide
96,21,24,52,Saccharide
50,26,33,59,NRP
35,51,53,112,Saccharide
30,22,36,66,Polyketide
44,48,47,32,RiPP
6,0,7,6,Polyketide
6,0,7,6,Polyketide
37,35,35,53,NRP
32,20,26,23,Alkaloid
16,37,25,17,Polyketide
47,17,27,55,NRP
31,55,63,27,Polyketide
15,34,66,20,NRP
7,65,22,29,Polyketide
36,33,37,37,Polyketide
17,10,12,13,Other
24,23,23,19,NRP
18,32,11,11,Other
19,24,32,54,Other
23,16,17,38,Alkaloid
29,14,31,26,Polyketide
20,31,15,18,Alkaloid
9,27,16,9,NRP
21,9,10,51,RiPP
8,18,18,15,NRP
10,25,5,34,Terpene
11,8,28,16,NRP
3,12,20,25,NRP
14,4,19,12,Polyketide
4,15,13,5,Polyketide
