database,database_id,biosyn_class,compound,smiles
PubChem,3431,Polyketide,fumonisin,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
PubChem,4461,NRP,congocidine,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NCCC(=N)N)C)NC(=O)CN=C(N)N
PubChem,5983,Alkaloid,physostigmine,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
PubChem,6197,Polyketide,cycloheximide,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
PubChem,12560,Polyketide,erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
PubChem,14197,Other,fengycin,CC12CCC(=O)CC1CCC3C2CCC4(C3(CCC4C5=CC(=O)OC5)O)C
PubChem,14421,Polyketide,aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
PubChem,14957,NRP,Antimycin,CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
PubChem,14965,Polyketide,nogalamycin,CC1C(C(C(C(O1)OC2CC(C(C3=CC4=C(C(=C23)O)C(=O)C5=C(C=C6C(=C5C4=O)OC7C(C(C(C6(O7)C)O)N(C)C)O)O)C(=O)OC)(C)O)OC)(C)OC)OC
PubChem,16547,Polyketide,"2,4-diacetylphloroglucinol",CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O
PubChem,23217,Polyketide,1-heptadecene,CCCCCCCCCCCCCCCC=C
PubChem,29746,Terpene,geosmin,CC1CCCC2(C1(CCCC2)O)C
PubChem,40486,Polyketide,calcimycin,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
PubChem,64715,Polyketide,compactin,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O
ChemSpider,66267,Polyketide,Cinerubin B,CC[C@]1(C[C@@H](c2c(cc3c(c2O)C(=O)c4c(ccc(c4C3=O)O)O)[C@H]1C(=O)OC)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@H]7[C@@H]([C@@H](O6)C)O[C@H]8[C@@H](O7)CC(=O)[C@@H](O8)C)N(C)C)O
PubChem,68072,Polyketide,Orsellinic acid,CC1=CC(=CC(=C1C(=O)O)O)O
PubChem,68072,Polyketide,orsellinic acid,CC1=CC(=CC(=C1C(=O)O)O)O
PubChem,72370,Polyketide,salinomycin,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O
PubChem,73491,Other,Fosfomycin,CC1C(O1)P(=O)([O-])[O-].[Na+].[Na+]
PubChem,84068,NRP,bleomycin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
PubChem,91706,NRP,Lyngbyatoxin,CC(C)C1C(=O)NC(CC2=CNC3=C(C=CC(=C23)N1C)C(C)(CCC=C(C)C)C=C)CO
PubChem,107864,NRP,HC-toxin,CC1C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)N1)C)CCCCCC(=O)C3CO3
PubChem,108014,Polyketide,dothistromin,C1C(OC2C1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O
PubChem,114969,Terpene,coronafacic acid,CCC1CC2C(CCC2=O)C(=C1)C(=O)O
PubChem,122810,NRP,destruxin,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NCCC(=O)OC(C(=O)N2CCCC2C(=O)N1)CC=C)C)C)C(C)C)C
PubChem,125349,NRP,bacillibactin,CC1C(C(=O)OC(C(C(=O)OC(C(C(=O)O1)NC(=O)CNC(=O)C2=C(C(=CC=C2)O)O)C)NC(=O)CNC(=O)C3=C(C(=CC=C3)O)O)C)NC(=O)CNC(=O)C4=C(C(=CC=C4)O)O
PubChem,126409,Polyketide,Benastatin B,CCCCCC1=C(C(=C2C(=C1)CCC3=C(C4=C(C=C32)C(C5=C(C4=O)C(=CC(=C5)O)O)(C)C)O)O)C(=O)O
PubChem,126727,Polyketide,Homoanatoxin-a,CCC(=O)C1=CCCC2CCC1N2
PubChem,129089,NRP,Xenocoumacin II,CC(C)CC(C1CC2=C(C(=CC=C2)O)C(=O)O1)NC(=O)C(C(C3CCCN3)O)O
PubChem,133204,Other,2-hydroxyethylclavam,C1C2N(C1=O)CC(O2)CCO
PubChem,135046,Terpene,3-deoxyaphidicolin,CC1(CCCC2(C1CCC3C24CCC(C(C3)C4)(CO)O)C)CO
PubChem,160175,Other,bacilysin,CC(C(=O)OC(=O)C(CC1CCC(=O)C2C1O2)N)N
PubChem,160478,Polyketide,Flaviolin,C1=C(C=C(C2=C1C(=O)C(=O)C=C2O)O)O
PubChem,160483,Polyketide,endocrocin,CC1=CC2=C(C(=C1C(=O)O)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
PubChem,161532,Other,Desferrioxamine E,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O
PubChem,177799,Polyketide,pederone,CC1C(OC(CC1=C)(C(C(=O)NC(C2CC(=O)C(C(O2)CC(COC)OC)(C)C)OC)O)OC)C
PubChem,181567,NRP,brevianamide F,C1CC2C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43
PubChem,185781,Terpene,botrydial,CC1CC(C2C(CC(C2(C1C=O)O)(C)C=O)(C)C)OC(=O)C
PubChem,196802,NRP,eponemycin,CC(C)CCCCC(=O)NC(CO)C(=O)NC(CC(=C)C)C(=O)C1(CO1)CO
PubChem,197707,NRP,Kalimantacin A,CC(CC=CC=CCCC(=C)CC(C)CC(=CC(=O)O)C)CC(=O)CC(CNC(=O)C(C)C(C)OC(=O)N)O
PubChem,198084,Polyketide,resistoflavin,CC1=CC(=C2C3=C1C(=O)C=C4C3(C5=C(C2=O)C(=CC(=C5C(=O)C4(C)C)O)O)O)O
PubChem,221187,Saccharide,amicetin,CC1C(CCC(O1)N2C=CC(=NC2=O)NC(=O)C3=CC=C(C=C3)NC(=O)C(C)(CO)N)OC4C(C(C(C(O4)C)N(C)C)O)O
PubChem,222778,Polyketide,fumagillol,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)O)OC)C
PubChem,368342,Polyketide,Landomycin A,CC1C(CCC(O1)OC2CC(OC(C2O)C)OC3C(OC(CC3O)OC4CCC(OC4C)OC5CC(OC(C5O)C)OC6C(OC(CC6O)OC7=C8C(=C(C=C7)O)C(=O)C9=C(C8=O)C(CC1=C9C(=CC(=C1)C)O)O)C)C)O
ChemSpider,391754,NRP,surfactin,CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O
ChemSpider,393914,Polyketide,Pseudomonic acid A,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O
PubChem,403671,Polyketide,Mensacaricin,CC1C(C23C(=O)C4=C(C(C2(O3)C(C1(C(=O)C5C(O5)C)O)O)OC)C(=CC=C4)OC)O
PubChem,430602,NRP,tallysomycin A,CC1C(C(C(C(O1)OC(C(C2=NC(=CS2)C3=NC(=CS3)C(=O)NCCCC(CC(=O)NCCCNCCCCN)N)O)NC(=O)C(C(C)O)NC(=O)CC(C(C)NC(=O)C(C(C4=CN=CN4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)NC(=O)C7=C(C(=NC(=N7)C(CC(=O)N)NCC(C(=O)N)N)N)C)O)O)O)N
PubChem,442849,Polyketide,cichorine,CC1=C(C=C2C(=C1OC)CNC2=O)O
PubChem,443757,Other,Esmeraldin,CC1C2=C3C(=CC=C2)NC4=C(C=CC=C4N3C5=C1C6=NC7=C(C=CC=C7N=C6C(=C5)C(=O)O)C(C)OC(=O)C8=C(C=CC=C8O)C)C(=O)O
